 id,text,label
10856,"এখানে আরো ভালো ভাবে দলীয় ও র এর অবস্থান পাকা হলো কি ? ? ",Neutral
sentinob_1072,চুয়াডাঙ্গা বাড়ি কে বলেছে আপনার,Neutral
sentinob_10530,"ভাই সোনাই ঘোষ এর দই খেয়ে যাইতেন , খুব ই মজার ",Positive
8001,"সমার তালুকদার আপনার ছবিতে ফেসটা কেন জানি বন্য বন্য লাগতেসে । বুঝলাম না । । ",Negative
sentinob_10144,ভাইয়া এই নুডলস টা কোথায় কিনতে পাওয়া যাবে প্লিজ একটু বলবেন,Positive
29871,বাংলাদেশে ফেসবুক ডট কম ডট বিডি ডোমেইন ব্যবহারে নিষেধাজ্ঞা,Negative
sentinob_4149,শাউয়ার মাগি তরে এত রিপোর্ট মারি তাও আসে কেন ভিডিও,Negative
sentinob_2786,"একপিছ খাসির হাড্ডি 220 , তুই খা ",Negative
sentinob_1110,"এই জিনিস সবজি দিয়ে খেলে জমার কথা না । কিন্তু ভর্তা দিয়ে টেস্ট করে দেখবেন , মাথা নষ্ট ",Positive
9424,"Mohi@ ভারত যদি বাংলাদেশের ওপর করে ? তখন ? ",Neutral
32810,"সংগীতশিল্পী এন্ড্রু কিশোর রাজশাহীর একটি হাসপাতালে আইসিইউতে চিকিৎসাধীন ",Positive
16008,"এখানে হিন্দুদের পড়া শোনার কথা হচ্ছে না । হচ্ছে ছেলে মেয়ে একসাথে পড়াশোনার কথা । ",Neutral
1038,"Sehতাই ভাই একদিন ঢাকা বিমানবন্দরের ভিতরে প্রবেশ করে দেখবেন কেমন নিরাপত্তা ব্যবস্থা সেখানে আমেরিকার মত দেশে এতজন মানুষ বিমান বন্দরে প্রবেশ করে এতগুলো বিমান ছিনতাই করলো নিরাপত্তা কর্মীরা কি তখন জি বাংলা দেখতে ব্যস্ত ছিলেন ? ",Negative
22950,ঈদের পর দিনও ঢাকা ছাড়ছে মানুষ https://t.co/XQE9bMgGFN,Positive
23713,বিপৎসীমা ছুঁই ছুঁই তিস্তার পানি https://t.co/bpOKOL6lAP,Negative
